ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender,Married,Dependents,Education,Self_Employed,Property_Area,Loan_Status
2196,3326,253,36,1,Male,No,0,Graduate,Yes,Urban,Not Approved
15764,8460,252,120,1,Female,Yes,1,Graduate,Yes,Urban,Not Approved
19994,3671,146,60,0,Female,No,3+,Graduate,Yes,Semiurban,Approved
7370,1544,477,120,0,Female,Yes,0,Not Graduate,No,Urban,Not Approved
13064,3025,477,120,0,Female,No,0,Graduate,Yes,Semiurban,Approved
3800,2409,202,12,0,Female,No,3+,Not Graduate,Yes,Rural,Not Approved
11102,7745,389,60,0,Female,No,1,Graduate,No,Semiurban,Not Approved
13300,680,453,36,0,Male,Yes,0,Graduate,Yes,Rural,Approved
7855,2953,369,360,1,Male,No,3+,Graduate,No,Urban,Approved
15625,1412,470,120,0,Male,Yes,1,Not Graduate,Yes,Semiurban,Not Approved
18148,3195,416,36,0,Female,Yes,1,Not Graduate,No,Semiurban,Not Approved
17011,7341,241,60,1,Female,No,0,Not Graduate,Yes,Urban,Not Approved
9651,1213,98,12,1,Male,No,0,Not Graduate,No,Semiurban,Not Approved
11289,1922,106,36,0,Male,No,2,Graduate,Yes,Rural,Approved
5923,4995,204,12,1,Female,Yes,1,Graduate,Yes,Rural,Approved
17374,7987,456,360,1,Female,No,3+,Graduate,No,Semiurban,Approved
6203,7953,83,360,1,Male,Yes,3+,Graduate,No,Semiurban,Not Approved
8243,5516,108,36,1,Male,No,1,Graduate,Yes,Rural,Approved
3952,5271,106,36,0,Female,Yes,0,Not Graduate,Yes,Urban,Not Approved
4079,2020,460,120,0,Female,No,0,Not Graduate,Yes,Urban,Approved
7075,648,288,12,0,Female,Yes,3+,Not Graduate,Yes,Rural,Approved
17404,1169,104,240,0,Male,No,2,Not Graduate,Yes,Rural,Approved
9244,6719,100,36,0,Male,Yes,2,Graduate,Yes,Semiurban,Approved
9574,7042,467,360,1,Male,No,1,Not Graduate,Yes,Rural,Not Approved
7442,16,257,60,0,Female,Yes,0,Graduate,No,Semiurban,Not Approved
8666,6731,207,120,0,Male,No,1,Graduate,Yes,Urban,Approved
15952,8437,350,120,0,Female,Yes,1,Graduate,Yes,Semiurban,Approved
14051,7419,401,12,0,Female,Yes,1,Not Graduate,No,Rural,Approved
12821,7984,131,360,1,Female,No,3+,Not Graduate,Yes,Semiurban,Approved
16104,7099,332,120,1,Female,No,1,Graduate,Yes,Rural,Not Approved
15274,4644,286,12,1,Female,Yes,0,Graduate,No,Semiurban,Not Approved
9004,1657,475,60,0,Female,Yes,2,Not Graduate,Yes,Rural,Not Approved
8244,3404,482,360,1,Female,No,2,Graduate,No,Rural,Approved
3611,4674,479,240,1,Male,Yes,2,Not Graduate,Yes,Semiurban,Not Approved
4112,8102,140,120,1,Male,No,1,Not Graduate,No,Urban,Approved
6174,9296,467,120,0,Male,Yes,0,Not Graduate,No,Rural,Not Approved
7909,1542,453,240,1,Male,No,0,Not Graduate,Yes,Rural,Approved
15001,6288,491,360,1,Male,No,1,Graduate,Yes,Semiurban,Not Approved
8895,1177,64,120,0,Female,Yes,3+,Not Graduate,Yes,Rural,Not Approved
4321,3474,85,240,1,Male,Yes,3+,Graduate,No,Rural,Not Approved
11975,7010,144,36,0,Male,No,0,Not Graduate,Yes,Urban,Not Approved
6675,3292,112,36,0,Male,No,0,Not Graduate,Yes,Urban,Not Approved
18129,2423,167,120,1,Male,Yes,3+,Not Graduate,Yes,Semiurban,Not Approved
11670,8889,410,120,0,Male,Yes,0,Not Graduate,No,Semiurban,Approved
15310,8418,86,60,1,Male,No,2,Not Graduate,No,Rural,Not Approved
7316,2448,152,60,0,Female,No,3+,Not Graduate,No,Rural,Not Approved
13012,3802,362,240,0,Male,Yes,0,Graduate,Yes,Semiurban,Approved
16739,5265,492,120,1,Female,Yes,1,Graduate,No,Urban,Not Approved
9945,3137,376,12,0,Male,Yes,0,Graduate,No,Rural,Approved
7209,4213,185,120,1,Male,No,1,Not Graduate,No,Semiurban,Not Approved
17657,9089,281,36,1,Female,Yes,2,Graduate,Yes,Semiurban,Approved
13903,5853,358,120,1,Male,Yes,1,Not Graduate,No,Semiurban,Approved
14742,8424,103,60,0,Female,No,3+,Graduate,No,Urban,Approved
11038,4235,290,60,1,Female,No,1,Graduate,No,Urban,Approved
10017,225,141,36,1,Female,Yes,0,Not Graduate,Yes,Semiurban,Not Approved
10176,9115,179,60,1,Female,Yes,2,Graduate,Yes,Rural,Approved
17128,8688,301,60,0,Male,No,1,Not Graduate,Yes,Urban,Not Approved
13966,5008,408,360,1,Female,No,0,Graduate,No,Rural,Not Approved
3806,4214,422,12,0,Female,Yes,1,Graduate,Yes,Rural,Not Approved
3560,2447,448,36,0,Male,Yes,2,Not Graduate,No,Semiurban,Not Approved
2379,6546,400,60,1,Female,No,0,Not Graduate,No,Semiurban,Approved
9406,6900,488,120,1,Female,Yes,0,Not Graduate,No,Semiurban,Approved
19288,3771,436,360,1,Male,No,2,Graduate,No,Semiurban,Not Approved
9499,6309,384,36,0,Male,Yes,1,Not Graduate,No,Urban,Approved
18579,6644,261,60,0,Male,Yes,2,Graduate,No,Urban,Approved
13268,492,318,12,1,Male,No,2,Graduate,Yes,Rural,Approved
3775,255,67,36,0,Female,Yes,2,Graduate,Yes,Semiurban,Approved
14464,3911,190,60,0,Female,Yes,2,Not Graduate,No,Urban,Not Approved
8669,6700,243,60,1,Male,Yes,0,Not Graduate,No,Semiurban,Not Approved
9959,6593,338,12,0,Male,Yes,3+,Not Graduate,No,Semiurban,Approved
16988,8620,105,60,0,Male,Yes,2,Not Graduate,Yes,Rural,Not Approved
14369,3871,380,60,1,Female,Yes,0,Not Graduate,Yes,Semiurban,Not Approved
14452,8990,219,240,0,Female,Yes,1,Graduate,No,Rural,Approved
3305,6255,183,360,0,Female,Yes,0,Graduate,No,Rural,Not Approved
7893,9980,433,60,1,Female,Yes,2,Not Graduate,No,Rural,Approved
11299,8900,151,12,0,Male,No,0,Not Graduate,Yes,Semiurban,Not Approved
10705,5088,409,120,1,Female,Yes,1,Graduate,No,Urban,Not Approved
8627,6861,419,36,1,Male,Yes,3+,Graduate,No,Rural,Approved
9517,7863,371,60,1,Male,Yes,0,Graduate,Yes,Urban,Not Approved
13658,6058,281,360,1,Male,Yes,1,Not Graduate,Yes,Rural,Approved
18004,878,53,120,0,Female,Yes,2,Not Graduate,Yes,Urban,Not Approved
18473,5810,214,360,1,Male,No,1,Not Graduate,Yes,Rural,Approved
10107,7282,365,240,1,Male,Yes,2,Not Graduate,Yes,Rural,Approved
18581,8246,492,60,1,Female,Yes,1,Graduate,Yes,Semiurban,Approved
15089,3692,222,36,0,Male,No,3+,Not Graduate,No,Rural,Approved
15941,7614,435,120,1,Male,Yes,3+,Not Graduate,Yes,Semiurban,Approved
9248,5745,491,36,0,Male,No,2,Graduate,No,Urban,Not Approved
6305,8927,131,36,0,Female,No,1,Graduate,Yes,Rural,Approved
3529,9733,446,240,1,Female,Yes,0,Graduate,Yes,Urban,Not Approved
9746,9507,205,360,1,Female,No,2,Graduate,No,Rural,Approved
7635,5629,335,120,0,Male,No,2,Not Graduate,No,Semiurban,Approved
8198,4491,290,120,1,Female,Yes,3+,Not Graduate,Yes,Semiurban,Not Approved
16812,7193,201,36,0,Female,Yes,2,Graduate,No,Urban,Approved
13072,6997,293,12,1,Male,No,1,Not Graduate,No,Semiurban,Approved
9713,8005,389,36,1,Female,No,0,Not Graduate,No,Rural,Not Approved
12951,2102,244,12,0,Female,No,3+,Graduate,Yes,Urban,Approved
6031,5451,421,240,1,Female,Yes,0,Graduate,No,Urban,Not Approved
3468,8248,490,12,0,Female,Yes,0,Graduate,Yes,Rural,Approved
2079,9992,491,240,0,Male,Yes,1,Graduate,No,Rural,Not Approved
17193,9252,145,36,0,Male,Yes,1,Graduate,Yes,Rural,Approved
5174,5690,246,36,0,Male,No,1,Graduate,No,Rural,Approved
16940,1166,81,60,0,Male,Yes,1,Not Graduate,Yes,Rural,Not Approved
2970,6463,85,120,1,Female,Yes,3+,Not Graduate,No,Rural,Not Approved
5930,5099,71,360,0,Female,No,3+,Graduate,No,Rural,Approved
12952,3809,66,120,1,Female,No,1,Graduate,No,Urban,Approved
12078,5932,259,60,0,Male,No,3+,Graduate,Yes,Rural,Approved
16015,7273,394,120,1,Female,Yes,3+,Not Graduate,Yes,Rural,Approved
16317,2167,448,360,1,Female,No,0,Graduate,Yes,Rural,Not Approved
5805,2841,493,120,1,Female,No,2,Graduate,Yes,Urban,Not Approved
13366,3433,187,36,1,Female,Yes,3+,Graduate,No,Semiurban,Not Approved
7739,4067,365,360,1,Female,Yes,3+,Not Graduate,No,Semiurban,Approved
13506,740,93,36,0,Female,No,2,Graduate,No,Urban,Not Approved
4963,7824,439,60,1,Male,Yes,1,Graduate,Yes,Semiurban,Not Approved
2115,2260,396,12,1,Male,Yes,2,Not Graduate,Yes,Rural,Not Approved
6589,7606,462,60,0,Female,Yes,3+,Not Graduate,Yes,Rural,Approved
18643,3416,362,36,0,Male,No,2,Graduate,Yes,Urban,Approved
9917,8471,224,120,0,Male,No,1,Not Graduate,Yes,Semiurban,Not Approved
4773,8743,479,60,0,Female,Yes,0,Not Graduate,No,Semiurban,Not Approved
2192,9146,215,36,0,Female,No,2,Not Graduate,No,Semiurban,Not Approved
9680,1094,442,36,1,Female,Yes,3+,Graduate,Yes,Urban,Not Approved
15742,8369,484,360,0,Male,No,2,Graduate,Yes,Semiurban,Not Approved
3136,5996,262,36,0,Female,Yes,1,Graduate,Yes,Urban,Not Approved
15577,7873,330,240,1,Female,Yes,0,Graduate,Yes,Rural,Approved
12960,8392,329,12,1,Female,No,3+,Graduate,Yes,Rural,Not Approved
13170,6266,340,120,0,Male,No,2,Graduate,Yes,Semiurban,Approved
16274,6853,336,36,0,Male,Yes,3+,Not Graduate,Yes,Semiurban,Approved
16690,9801,451,36,0,Female,No,3+,Graduate,Yes,Rural,Approved
14074,5295,460,360,0,Female,Yes,3+,Not Graduate,No,Rural,Approved
17411,9323,350,12,0,Female,No,3+,Graduate,Yes,Rural,Approved
7196,7623,311,240,0,Male,Yes,1,Graduate,No,Semiurban,Not Approved
15079,4111,194,240,0,Female,Yes,0,Not Graduate,No,Urban,Not Approved
18710,6062,162,36,1,Male,Yes,2,Not Graduate,Yes,Rural,Approved
18222,8287,99,120,1,Male,No,1,Not Graduate,Yes,Rural,Approved
4658,690,108,36,1,Female,No,2,Graduate,No,Urban,Not Approved
17766,6784,422,360,0,Male,Yes,1,Not Graduate,No,Rural,Approved
9576,5222,145,360,0,Female,No,3+,Not Graduate,Yes,Rural,Not Approved
15004,5254,416,60,1,Male,Yes,0,Graduate,No,Rural,Approved
17204,4565,480,240,1,Female,No,1,Graduate,No,Rural,Not Approved
17687,2086,376,12,1,Female,Yes,0,Not Graduate,No,Rural,Not Approved
3272,8987,294,240,0,Female,Yes,2,Not Graduate,Yes,Semiurban,Not Approved
2154,8862,470,120,0,Male,No,1,Graduate,Yes,Rural,Not Approved
17779,3907,144,12,0,Male,No,3+,Graduate,No,Urban,Approved
10266,7317,364,12,1,Female,Yes,3+,Graduate,Yes,Semiurban,Approved
10018,5129,423,12,0,Female,No,2,Not Graduate,No,Semiurban,Approved
4865,7847,455,60,0,Male,No,1,Graduate,Yes,Rural,Approved
9195,1166,276,60,1,Male,No,0,Graduate,No,Urban,Approved
19095,4316,270,120,0,Male,No,0,Not Graduate,Yes,Rural,Approved
5206,3201,239,60,0,Female,Yes,3+,Not Graduate,No,Semiurban,Not Approved
8574,4508,170,360,0,Male,Yes,3+,Not Graduate,Yes,Rural,Approved
8904,2768,247,360,1,Female,No,0,Not Graduate,Yes,Rural,Approved
12034,2780,102,360,0,Male,Yes,2,Graduate,No,Semiurban,Approved
11064,8994,64,60,0,Male,No,2,Not Graduate,No,Urban,Not Approved
2252,9958,291,240,0,Male,No,0,Not Graduate,No,Rural,Not Approved
12084,3465,228,36,1,Male,Yes,2,Graduate,No,Semiurban,Approved
12073,4757,262,36,1,Male,No,0,Not Graduate,Yes,Rural,Approved
15915,5346,437,36,0,Male,No,3+,Not Graduate,Yes,Rural,Approved
18472,9443,352,120,1,Male,Yes,3+,Graduate,Yes,Semiurban,Not Approved
3982,8764,359,12,0,Female,No,0,Not Graduate,No,Rural,Approved
11833,1778,83,360,1,Female,Yes,0,Not Graduate,Yes,Semiurban,Approved
14300,8886,345,60,0,Female,No,2,Not Graduate,No,Rural,Approved
4040,6044,177,120,1,Male,Yes,0,Not Graduate,Yes,Urban,Approved
2132,2604,83,12,1,Male,Yes,3+,Not Graduate,Yes,Rural,Not Approved
11763,7305,110,360,0,Female,Yes,0,Graduate,No,Urban,Approved
10637,8744,375,240,1,Male,No,3+,Graduate,Yes,Semiurban,Not Approved
3144,9654,109,36,0,Female,Yes,1,Graduate,Yes,Semiurban,Not Approved
19060,4564,383,240,1,Male,Yes,3+,Not Graduate,No,Rural,Not Approved
9244,4912,194,36,1,Female,Yes,1,Graduate,Yes,Rural,Approved
5681,4188,80,60,1,Female,Yes,2,Not Graduate,No,Urban,Approved
15827,9296,170,120,0,Male,No,2,Not Graduate,No,Semiurban,Approved
19887,5911,430,12,0,Female,No,2,Graduate,Yes,Urban,Approved
16876,1801,198,360,1,Male,No,2,Graduate,No,Semiurban,Not Approved
11679,8770,225,12,1,Male,Yes,0,Graduate,Yes,Semiurban,Not Approved
19551,1334,180,12,0,Male,No,0,Not Graduate,Yes,Urban,Approved
10105,2321,165,60,0,Female,Yes,2,Not Graduate,Yes,Rural,Approved
14833,6957,250,120,0,Male,Yes,0,Graduate,No,Urban,Approved
11117,2186,187,120,0,Female,Yes,1,Graduate,No,Urban,Not Approved
11971,6892,258,12,0,Female,No,3+,Graduate,No,Semiurban,Not Approved
15712,8247,474,360,0,Female,Yes,1,Graduate,No,Rural,Approved
3687,2295,256,12,0,Female,Yes,0,Graduate,Yes,Semiurban,Approved
4199,4803,266,120,0,Male,Yes,3+,Graduate,Yes,Rural,Not Approved
16713,5314,108,36,1,Male,No,3+,Not Graduate,No,Semiurban,Approved
5743,7254,82,240,0,Male,No,0,Not Graduate,No,Urban,Not Approved
6236,2827,273,12,1,Female,No,1,Graduate,Yes,Rural,Not Approved
3624,9016,328,36,0,Female,Yes,0,Not Graduate,No,Rural,Approved
7911,4745,300,240,0,Female,Yes,1,Graduate,Yes,Rural,Not Approved
5625,8467,269,240,0,Female,No,3+,Graduate,No,Rural,Not Approved
19053,5883,195,12,1,Male,No,1,Not Graduate,No,Rural,Not Approved
4430,8072,85,240,0,Female,No,1,Not Graduate,No,Urban,Not Approved
5511,1660,362,12,1,Female,Yes,3+,Graduate,Yes,Semiurban,Approved
17674,8810,495,36,0,Female,Yes,2,Not Graduate,No,Semiurban,Approved
4056,8397,394,120,0,Male,Yes,3+,Graduate,Yes,Rural,Approved
17385,6531,342,360,1,Female,No,2,Not Graduate,No,Urban,Not Approved
15742,7709,344,36,1,Female,Yes,1,Graduate,Yes,Urban,Approved
6476,4435,183,360,1,Female,Yes,0,Graduate,No,Urban,Approved
12805,8974,212,60,1,Female,Yes,1,Not Graduate,Yes,Rural,Approved
10786,7212,178,240,1,Female,No,2,Graduate,Yes,Urban,Approved
7677,9605,121,60,0,Male,No,1,Graduate,Yes,Rural,Not Approved
16515,6131,368,12,1,Female,Yes,3+,Not Graduate,Yes,Urban,Not Approved
10788,3807,487,240,0,Male,No,2,Not Graduate,No,Rural,Not Approved
18653,4919,329,120,0,Male,Yes,2,Not Graduate,No,Urban,Not Approved
8070,9486,177,36,0,Female,Yes,3+,Not Graduate,No,Rural,Not Approved
9852,3321,166,36,0,Female,Yes,3+,Not Graduate,No,Semiurban,Approved
19025,8779,484,60,0,Male,Yes,3+,Graduate,No,Semiurban,Not Approved
9647,752,420,36,1,Male,Yes,1,Not Graduate,No,Rural,Approved
16164,6793,235,360,0,Male,Yes,3+,Not Graduate,No,Urban,Not Approved
11263,1576,57,36,1,Female,Yes,0,Not Graduate,Yes,Semiurban,Approved
16909,4956,340,240,0,Female,Yes,3+,Graduate,Yes,Semiurban,Not Approved
4032,8639,470,240,1,Female,Yes,0,Not Graduate,Yes,Urban,Approved
4892,9961,307,36,0,Female,No,0,Graduate,No,Rural,Approved
18012,4840,196,36,0,Male,No,3+,Not Graduate,Yes,Urban,Not Approved
19676,8596,137,60,0,Male,Yes,1,Not Graduate,Yes,Rural,Approved
12732,976,137,60,0,Male,No,0,Graduate,No,Urban,Approved
5552,7165,385,120,0,Female,Yes,1,Not Graduate,Yes,Urban,Approved
14595,3243,289,60,0,Female,No,1,Graduate,No,Rural,Approved
12483,6331,190,360,1,Female,Yes,2,Not Graduate,Yes,Rural,Not Approved
3326,1121,281,12,1,Male,No,1,Not Graduate,No,Rural,Approved
10673,5678,161,60,1,Female,No,0,Graduate,Yes,Semiurban,Approved
3828,9313,357,120,0,Female,Yes,3+,Not Graduate,Yes,Semiurban,Not Approved
18795,5946,445,120,1,Male,Yes,2,Not Graduate,No,Semiurban,Not Approved
17173,6536,102,36,1,Female,Yes,2,Graduate,No,Urban,Not Approved
19812,9914,151,360,0,Male,No,1,Not Graduate,No,Urban,Not Approved
9289,2491,253,120,0,Female,Yes,2,Not Graduate,No,Urban,Approved
12210,548,450,60,0,Female,No,1,Not Graduate,Yes,Rural,Approved
7839,9502,220,12,1,Male,Yes,0,Graduate,Yes,Semiurban,Approved
13044,3523,150,360,0,Female,Yes,3+,Graduate,Yes,Semiurban,Not Approved
9914,7884,198,60,1,Female,Yes,1,Graduate,No,Rural,Approved
17540,8152,405,120,0,Male,Yes,3+,Not Graduate,No,Rural,Approved
5469,4275,189,240,0,Male,No,0,Not Graduate,Yes,Semiurban,Approved
18369,1023,159,240,0,Male,Yes,0,Graduate,Yes,Rural,Not Approved
2929,9210,171,60,1,Female,No,1,Not Graduate,No,Urban,Approved
6750,1482,54,120,1,Female,No,2,Not Graduate,No,Semiurban,Approved
10515,9967,235,36,1,Female,No,0,Graduate,No,Semiurban,Approved
9963,3854,422,240,1,Female,No,1,Not Graduate,No,Semiurban,Approved
